route,type,index_intent,metadata_source,has_canonical,has_og,has_jsonld,styling_ok,notes
/,static,index,frontend/app/layout.tsx (default),Y,Y,Y,Y,"Home page uses defaultMetadata with canonical"
/browse,static,index,frontend/app/browse/layout.tsx,Y,Y,N,Y,"Client component; metadata in layout.tsx"
/search,static,index,frontend/app/search/page.tsx,Y,Y,N,Y,"Base /search indexed; /search?q=* noindex"
/search?q=*,dynamic,noindex,frontend/app/search/page.tsx,N,Y,N,Y,"Query param pages correctly noindexed"
/latest,static,index,frontend/app/latest/page.tsx,Y,Y,N,Y,"Uses constructMetadata with path"
/brands,static,index,frontend/app/brands/page.tsx,Y,Y,N,Y,"FIXED: Now uses Header/Footer and design system"
/about,static,index,frontend/app/about/page.tsx,Y,Y,N,Y,"Uses constructMetadata with path"
/random,static,noindex,frontend/app/random/page.tsx,N,N,N,N/A,"FIXED: Now has noindex metadata"
/advert/[brand]/[slug],dynamic,index,frontend/app/advert/[brand]/[slug]/page.tsx,Y,Y,Y,N,"NOTE: Uses gray/red palette but acceptable for distinctive ad pages"
/ads/[external_id],dynamic,noindex,frontend/app/ads/[external_id]/page.tsx,N,Y,N,Y,"FIXED: Now noindexed - canonical is /advert/*/*"
/admin,static,private,frontend/app/admin/page.tsx,N,N,N,Y,"Admin pages - robots disallow"
/admin/editorial,static,private,frontend/app/admin/editorial/page.tsx,N,N,N,Y,"Admin page - robots disallow"
/admin/upload,static,private,frontend/app/admin/upload/page.tsx,N,N,N,Y,"Admin page - robots disallow"
/admin/manage,static,private,frontend/app/admin/manage/page.tsx,N,N,N,Y,"Admin page - robots disallow"
/api/*,route,private,frontend/app/api/**/route.ts,N/A,N/A,N/A,N/A,"API routes - robots disallow"
